soil_type,crop_type,irrigation_type,acres,lat,lon,yield_per_acre,predicted_yield_per_acre,total_yield
loamy,Wheat,drip,10,20.3,85.8,2.00,2.00,20.0
loamy,Wheat,sprinkler,10,20.3,85.8,2.05,2.05,20.5
loamy,Wheat,canal,10,20.3,85.8,2.10,2.10,21.0
loamy,Wheat,none,10,20.3,85.8,2.15,2.15,21.5
sandy,Wheat,drip,10,20.3,85.8,2.10,2.10,21.0
sandy,Wheat,sprinkler,10,20.3,85.8,2.15,2.15,21.5
sandy,Wheat,canal,10,20.3,85.8,2.20,2.20,22.0
sandy,Wheat,none,10,20.3,85.8,2.25,2.25,22.5
clay,Wheat,drip,10,20.3,85.8,2.20,2.20,22.0
clay,Wheat,sprinkler,10,20.3,85.8,2.25,2.25,22.5
clay,Wheat,canal,10,20.3,85.8,2.30,2.30,23.0
clay,Wheat,none,10,20.3,85.8,2.35,2.35,23.5
red,Wheat,drip,10,20.3,85.8,2.30,2.30,23.0
red,Wheat,sprinkler,10,20.3,85.8,2.35,2.35,23.5
red,Wheat,canal,10,20.3,85.8,2.40,2.40,24.0
red,Wheat,none,10,20.3,85.8,2.45,2.45,24.5
black,Wheat,drip,10,20.3,85.8,2.40,2.40,24.0
black,Wheat,sprinkler,10,20.3,85.8,2.45,2.45,24.5
black,Wheat,canal,10,20.3,85.8,2.50,2.50,25.0
black,Wheat,none,10,20.3,85.8,2.55,2.55,25.5
alluvial,Wheat,drip,10,20.3,85.8,2.50,2.50,25.0
alluvial,Wheat,sprinkler,10,20.3,85.8,2.55,2.55,25.5
alluvial,Wheat,canal,10,20.3,85.8,2.60,2.60,26.0
alluvial,Wheat,none,10,20.3,85.8,2.65,2.65,26.5
laterite,Wheat,drip,10,20.3,85.8,2.60,2.60,26.0
laterite,Wheat,sprinkler,10,20.3,85.8,2.65,2.65,26.5
laterite,Wheat,canal,10,20.3,85.8,2.70,2.70,27.0
laterite,Wheat,none,10,20.3,85.8,2.75,2.75,27.5
peaty,Wheat,drip,10,20.3,85.8,2.70,2.70,27.0
peaty,Wheat,sprinkler,10,20.3,85.8,2.75,2.75,27.5
peaty,Wheat,canal,10,20.3,85.8,2.80,2.80,28.0
peaty,Wheat,none,10,20.3,85.8,2.85,2.85,28.5
saline,Wheat,drip,10,20.3,85.8,2.80,2.80,28.0
