soil_type,crop_type,irrigation_type,yield_per_acre
loamy,wheat,drip,2.0
loamy,wheat,sprinkler,2.0
loamy,wheat,flood,2.0
loamy,wheat,furrow,2.0
loamy,wheat,basin,2.0
loamy,wheat,rainfed,2.0
loamy,rice,drip,2.0
loamy,rice,sprinkler,2.0
loamy,rice,flood,2.0
loamy,rice,furrow,2.0
loamy,rice,basin,2.0
loamy,rice,rainfed,2.0
loamy,cotton,drip,2.0
loamy,cotton,sprinkler,2.0
loamy,cotton,flood,2.0
loamy,cotton,furrow,2.0
loamy,cotton,basin,2.0
loamy,cotton,rainfed,2.0
loamy,vegetables,drip,2.0
loamy,vegetables,sprinkler,2.0
loamy,vegetables,flood,2.0
loamy,vegetables,furrow,2.0
loamy,vegetables,basin,2.0
loamy,vegetables,rainfed,2.0
loamy,pulses,drip,2.0
loamy,pulses,sprinkler,2.0
loamy,pulses,flood,2.0
loamy,pulses,furrow,2.0
loamy,pulses,basin,2.0
loamy,pulses,rainfed,2.0
loamy,peanuts,drip,2.0
loamy,peanuts,sprinkler,2.0
loamy,peanuts,flood,2.0
loamy,peanuts,furrow,2.0
loamy,peanuts,basin,2.0
loamy,peanuts,rainfed,2.0
loamy,watermelon,drip,2.0
loamy,watermelon,sprinkler,2.0
loamy,watermelon,flood,2.0
loamy,watermelon,furrow,2.0
loamy,watermelon,basin,2.0
loamy,watermelon,rainfed,2.0
loamy,potatoes,drip,2.0
loamy,potatoes,sprinkler,2.0
loamy,potatoes,flood,2.0
loamy,potatoes,furrow,2.0
loamy,potatoes,basin,2.0
loamy,potatoes,rainfed,2.0
loamy,carrots,drip,2.0
loamy,carrots,sprinkler,2.0
loamy,carrots,flood,2.0
loamy,carrots,furrow,2.0
loamy,carrots,basin,2.0
loamy,carrots,rainfed,2.0
loamy,cantaloupe,drip,2.0
loamy,cantaloupe,sprinkler,2.0
loamy,cantaloupe,flood,2.0
loamy,cantaloupe,furrow,2.0
loamy,cantaloupe,basin,2.0
loamy,cantaloupe,rainfed,2.0
loamy,soybean,drip,2.0
loamy,soybean,sprinkler,2.0
loamy,soybean,flood,2.0
loamy,soybean,furrow,2.0
loamy,soybean,basin,2.0
loamy,soybean,rainfed,2.0
loamy,broccoli,drip,2.0
loamy,broccoli,sprinkler,2.0
loamy,broccoli,flood,2.0
loamy,broccoli,furrow,2.0
loamy,broccoli,basin,2.0
loamy,broccoli,rainfed,2.0
loamy,cabbage,drip,2.0
loamy,cabbage,sprinkler,2.0
loamy,cabbage,flood,2.0
loamy,cabbage,furrow,2.0
loamy,cabbage,basin,2.0
loamy,cabbage,rainfed,2.0
loamy,tomatoes,drip,2.0
loamy,tomatoes,sprinkler,2.0
loamy,tomatoes,flood,2.0
loamy,tomatoes,furrow,2.0
loamy,tomatoes,basin,2.0
loamy,tomatoes,rainfed,2.0
loamy,onions,drip,2.0
loamy,onions,sprinkler,2.0
loamy,onions,flood,2.0
loamy,onions,furrow,2.0
loamy,onions,basin,2.0
loamy,onions,rainfed,2.0
loamy,garlic,drip,2.0
loamy,garlic,sprinkler,2.0
loamy,garlic,flood,2.0
loamy,garlic,furrow,2.0
loamy,garlic,basin,2.0
loamy,garlic,rainfed,2.0
loamy,peppers,drip,2.0
loamy,peppers,sprinkler,2.0
loamy,peppers,flood,2.0
loamy,peppers,furrow,2.0
loamy,peppers,basin,2.0
loamy,peppers,rainfed,2.0
loamy,lettuce,drip,2.0
loamy,lettuce,sprinkler,2.0
loamy,lettuce,flood,2.0
loamy,lettuce,furrow,2.0
loamy,lettuce,basin,2.0
loamy,lettuce,rainfed,2.0
loamy,celery,drip,2.0
loamy,celery,sprinkler,2.0
loamy,celery,flood,2.0
loamy,celery,furrow,2.0
loamy,celery,basin,2.0
loamy,celery,rainfed,2.0
loamy,barley,drip,2.0
loamy,barley,sprinkler,2.0
loamy,barley,flood,2.0
loamy,barley,furrow,2.0
loamy,barley,basin,2.0
loamy,barley,rainfed,2.0
loamy,beet,drip,2.0
loamy,beet,sprinkler,2.0
loamy,beet,flood,2.0
loamy,beet,furrow,2.0
loamy,beet,basin,2.0
loamy,beet,rainfed,2.0
loamy,spinach,drip,2.0
loamy,spinach,sprinkler,2.0
loamy,spinach,flood,2.0
loamy,spinach,furrow,2.0
loamy,spinach,basin,2.0
loamy,spinach,rainfed,2.0
loamy,millets,drip,2.0
loamy,millets,sprinkler,2.0
loamy,millets,flood,2.0
loamy,millets,furrow,2.0
loamy,millets,basin,2.0
loamy,millets,rainfed,2.0
loamy,groundnut,drip,2.0
loamy,groundnut,sprinkler,2.0
loamy,groundnut,flood,2.0
loamy,groundnut,furrow,2.0
loamy,groundnut,basin,2.0
loamy,groundnut,rainfed,2.0
loamy,cashew,drip,2.0
loamy,cashew,sprinkler,2.0
loamy,cashew,flood,2.0
loamy,cashew,furrow,2.0
loamy,cashew,basin,2.0
loamy,cashew,rainfed,2.0
loamy,pineapple,drip,2.0
loamy,pineapple,sprinkler,2.0
loamy,pineapple,flood,2.0
loamy,pineapple,furrow,2.0
loamy,pineapple,basin,2.0
loamy,pineapple,rainfed,2.0
loamy,tea,drip,2.0
loamy,tea,sprinkler,2.0
loamy,tea,flood,2.0
loamy,tea,furrow,2.0
loamy,tea,basin,2.0
loamy,tea,rainfed,2.0
loamy,coffee,drip,2.0
loamy,coffee,sprinkler,2.0
loamy,coffee,flood,2.0
loamy,coffee,furrow,2.0
loamy,coffee,basin,2.0
loamy,coffee,rainfed,2.0
loamy,sunflower,drip,2.0
loamy,sunflower,sprinkler,2.0
loamy,sunflower,flood,2.0
loamy,sunflower,furrow,2.0
loamy,sunflower,basin,2.0
loamy,sunflower,rainfed,2.0
loamy,jute,drip,2.0
loamy,jute,sprinkler,2.0
loamy,jute,flood,2.0
loamy,jute,furrow,2.0
loamy,jute,basin,2.0
loamy,jute,rainfed,2.0
loamy,sugarcane,drip,2.0
loamy,sugarcane,sprinkler,2.0
loamy,sugarcane,flood,2.0
loamy,sugarcane,furrow,2.0
loamy,sugarcane,basin,2.0
loamy,sugarcane,rainfed,2.0
loamy,sugar beet,drip,2.0
loamy,sugar beet,sprinkler,2.0
loamy,sugar beet,flood,2.0
loamy,sugar beet,furrow,2.0
loamy,sugar beet,basin,2.0
loamy,sugar beet,rainfed,2.0
sandy,wheat,drip,2.0
sandy,wheat,sprinkler,2.0
sandy,wheat,flood,2.0
sandy,wheat,furrow,2.0
sandy,wheat,basin,2.0
sandy,wheat,rainfed,2.0
sandy,rice,drip,2.0
sandy,rice,sprinkler,2.0
sandy,rice,flood,2.0
sandy,rice,furrow,2.0
sandy,rice,basin,2.0
sandy,rice,rainfed,2.0
sandy,cotton,drip,2.0
sandy,cotton,sprinkler,2.0
sandy,cotton,flood,2.0
sandy,cotton,furrow,2.0
sandy,cotton,basin,2.0
sandy,cotton,rainfed,2.0
sandy,vegetables,drip,2.0
sandy,vegetables,sprinkler,2.0
sandy,vegetables,flood,2.0
sandy,vegetables,furrow,2.0
sandy,vegetables,basin,2.0
sandy,vegetables,rainfed,2.0
sandy,pulses,drip,2.0
sandy,pulses,sprinkler,2.0
sandy,pulses,flood,2.0
sandy,pulses,furrow,2.0
sandy,pulses,basin,2.0
sandy,pulses,rainfed,2.0
sandy,peanuts,drip,2.0
sandy,peanuts,sprinkler,2.0
sandy,peanuts,flood,2.0
sandy,peanuts,furrow,2.0
sandy,peanuts,basin,2.0
sandy,peanuts,rainfed,2.0
sandy,watermelon,drip,2.0
sandy,watermelon,sprinkler,2.0
sandy,watermelon,flood,2.0
sandy,watermelon,furrow,2.0
sandy,watermelon,basin,2.0
sandy,watermelon,rainfed,2.0
sandy,potatoes,drip,2.0
sandy,potatoes,sprinkler,2.0
sandy,potatoes,flood,2.0
sandy,potatoes,furrow,2.0
sandy,potatoes,basin,2.0
sandy,potatoes,rainfed,2.0
sandy,carrots,drip,2.0
sandy,carrots,sprinkler,2.0
sandy,carrots,flood,2.0
sandy,carrots,furrow,2.0
sandy,carrots,basin,2.0
sandy,carrots,rainfed,2.0
sandy,cantaloupe,drip,2.0
sandy,cantaloupe,sprinkler,2.0
sandy,cantaloupe,flood,2.0
sandy,cantaloupe,furrow,2.0
sandy,cantaloupe,basin,2.0
sandy,cantaloupe,rainfed,2.0
sandy,soybean,drip,2.0
sandy,soybean,sprinkler,2.0
sandy,soybean,flood,2.0
sandy,soybean,furrow,2.0
sandy,soybean,basin,2.0
sandy,soybean,rainfed,2.0
sandy,broccoli,drip,2.0
sandy,broccoli,sprinkler,2.0
sandy,broccoli,flood,2.0
sandy,broccoli,furrow,2.0
sandy,broccoli,basin,2.0
sandy,broccoli,rainfed,2.0
sandy,cabbage,drip,2.0
sandy,cabbage,sprinkler,2.0
sandy,cabbage,flood,2.0
sandy,cabbage,furrow,2.0
sandy,cabbage,basin,2.0
sandy,cabbage,rainfed,2.0
sandy,tomatoes,drip,2.0
sandy,tomatoes,sprinkler,2.0
sandy,tomatoes,flood,2.0
sandy,tomatoes,furrow,2.0
sandy,tomatoes,basin,2.0
sandy,tomatoes,rainfed,2.0
sandy,onions,drip,2.0
sandy,onions,sprinkler,2.0
sandy,onions,flood,2.0
sandy,onions,furrow,2.0
sandy,onions,basin,2.0
sandy,onions,rainfed,2.0
sandy,garlic,drip,2.0
sandy,garlic,sprinkler,2.0
sandy,garlic,flood,2.0
sandy,garlic,furrow,2.0
sandy,garlic,basin,2.0
sandy,garlic,rainfed,2.0
sandy,peppers,drip,2.0
